timestamp,categorie,code_postal,premiere_visite,comment_avez_vous_entendu_parler_de_nous
2020/11/07 9:42:17 AM EST,Parents avec jeunes enfants,G1w2z5,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:18 AM EST,Parents avec jeunes enfants,G1g1p5,Non,TV
2020/11/07 9:42:18 AM EST,Parents avec jeunes enfants,G1w0b4,Non,Étude sur nous
2020/11/07 9:42:19 AM EST,Parents avec jeunes enfants,G6z2m4,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:19 AM EST,Parents avec jeunes enfants,G0a2r0,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:20 AM EST,Grands-parents,G1t1l6,Oui,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:20 AM EST,Parents avec jeunes enfants,G1j1a6,Oui,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:21 AM EST,Parents avec jeunes enfants,G1c4b1,Non,Radio
2020/11/07 9:42:22 AM EST,Parents avec jeunes enfants,G3a0a3,Non,Radio
2020/11/07 9:42:22 AM EST,Parents avec jeunes enfants,G3a0a2,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:23 AM EST,Oncle,G/1v0g5,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:23 AM EST,Parents avec jeunes enfants,G0s2c0,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:24 AM EST,Parents avec jeunes enfants,G0a3z0,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/11/07 9:42:24 AM EST,Parents avec jeunes enfants,G2l2s1,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:25 AM EST,Parents avec jeunes enfants,G1j4r5,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:26 AM EST,Parents avec jeunes enfants,G1g6c6,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:26 AM EST,Parents avec jeunes enfants,G1h5g6,Non,"Événements (Conteneur de l'amour, parade des jouets, etc)"
2020/11/07 9:42:27 AM EST,Grands-parents,G7a1l2,Non,Radio
2020/11/07 9:42:27 AM EST,Grands-parents,G2k1v4,Non,Collecte de jouets avec son travail 
2020/11/07 9:42:28 AM EST,Tante,G2c1z6,Non,Radio
2020/11/07 9:42:29 AM EST,Parents avec jeunes enfants,G3s0w8,Oui,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:29 AM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G1m3k7,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:30 AM EST,Collectionneur ,G2l2r7,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:30 AM EST,Grands-parents,G1y3s1,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/11/07 9:42:40 AM EST,Parents avec jeunes enfants,G3h1s4,Non,Lucie
2020/11/07 9:42:46 AM EST,Parents avec jeunes enfants,G2l3c3,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/11/07 9:42:47 AM EST,Grands-parents,G1b2a1,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:48 AM EST,Parents avec jeunes enfants,G3a2w1,Non,Journaux 
2020/11/07 9:42:48 AM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G1j4v8,Oui,"Événements (Conteneur de l'amour, parade des jouets, etc)"
2020/11/07 9:42:50 AM EST,Parents avec jeunes enfants,G1y2b8,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:51 AM EST,Grands-parents,G2b3n4,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:51 AM EST,Parents avec jeunes enfants,G0s1z0,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:52 AM EST,Parents avec jeunes enfants,G3h0h4,Non,Radio
2020/11/07 9:42:53 AM EST,Parents avec jeunes enfants,G7a3w9,Non,Bénévolat avec son travail 
2020/11/07 9:42:53 AM EST,Grands-parents,G1c7e6,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:54 AM EST,Parents avec jeunes enfants,G1s3y1,Non,Google 
2020/11/07 9:42:55 AM EST,Parents avec jeunes enfants,G1y2b2,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:55 AM EST,Parents avec jeunes enfants,G2g0c2,Non,"Événements (Conteneur de l'amour, parade des jouets, etc)"
2020/11/07 9:42:56 AM EST,Parents avec jeunes enfants,G0a4v0,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:57 AM EST,Parents avec jeunes enfants,G2c1k4,Non,Radio
2020/11/07 9:42:58 AM EST,Parents avec jeunes enfants,G2a4a2,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/11/07 9:42:59 AM EST,Grands-parents,G0a1l0,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/11/07 11:46:03 AM EST,Colectionneur,G6C 2J7,Non,Internet
2020/11/07 11:47:06 AM EST,Parents avec jeunes enfants,G3B 2A6,Non,"Famille, amis, collègues (etc.)"
2020/11/07 11:47:07 AM EST,Grands-parents,G1x2m3,Non,"Famille, amis, collègues (etc.)"
2020/11/07 11:47:08 AM EST,Grands-parents,G6z8g2,Non,Bénévole intact
2020/11/07 11:47:10 AM EST,Parents avec jeunes enfants,G1k3g8,Oui,Radio
2020/11/07 2:56:54 PM EST,Parents avec jeunes enfants,G0S 2P0,Non,"Famille, amis, collègues (etc.)"
2020/11/10 10:35:26 AM EST,Parents avec jeunes enfants,G1y2t1,Non,"Famille, amis, collègues (etc.)"
2020/11/10 10:39:58 AM EST,Grands-parents,G1x2w8,Non,"Famille, amis, collègues (etc.)"
2020/11/10 10:42:25 AM EST,Parents avec jeunes enfants,G7a2e7,Non,"Famille, amis, collègues (etc.)"
2020/11/10 10:55:14 AM EST,Parents avec jeunes enfants,G6v5k5,Oui,"Famille, amis, collègues (etc.)"
2020/11/10 10:59:32 AM EST,Parents avec jeunes enfants,G1y1s4,Non,Radio
2020/11/10 11:04:43 AM EST,Parents avec jeunes enfants,G1l4e4,Oui,"Famille, amis, collègues (etc.)"
2020/11/10 11:07:34 AM EST,Grands-parents,G1y1y7,Non,"Famille, amis, collègues (etc.)"
2020/11/10 11:09:31 AM EST,Parents avec jeunes enfants,G1p2p5,Non,"Réseaux sociaux (Facebook, Instagram...)"
