code_postal,geocode_text,lon,lat
G6J1B8,"G6J1B8, Canada",-71.3268331,46.65833720000001
G2L2Y8,"G2L2Y8, Canada",-71.2516426,46.88011059999999
G1T1A5,"G1T1A5, Canada",-71.2611314,46.7839396
G1W4X8,"G1W4X8, Canada",-71.3049036,46.7688822
G0R3E0,"G0R3E0, Canada",-71.02788559999999,46.7052986
G7A2X9,"G7A2X9, Canada",-71.2989664,46.7388629
G1C7J5,"G1C7J5, Canada",-71.2176408,46.8879163
G1P3Z4,"G1P3Z4, Canada",-71.3133848,46.7980165
G2B0P2,"G2B0P2, Canada",NA,NA
G1V1E7,"G1V1E7, Canada",-71.29276109999999,46.7881152
G6W3A5,"G6W3A5, Canada",-71.2260029,46.7545107
G1K5P8,"G1K5P8, Canada",-71.230047,46.80967769999999
G1M3V1,"G1M3V1, Canada",-71.2808948,46.8149204
G1Y3J3,"G1Y3J3, Canada",-71.35822519999999,46.75261
G1H5R1,"G1H5R1, Canada",-71.2762528,46.85174
G3H1V5,"G3H1V5, Canada",-71.6934031,46.7542629
G3A1C5,"G3A1C5, Canada",-71.3810922,46.7476224
G1S3X9,"G1S3X9, Canada",-71.24921479999999,46.7884967
G3K1J1,"G3K1J1, Canada",-71.41213139999999,46.8514377
G1W4E5,"G1W4E5, Canada",-71.3023149,46.7578845
G2G1E6,"G2G1E6, Canada",-71.3828833,46.76817579999999
G3A2L9,"G3A2L9, Canada",-71.3835362,46.7533497
G6W6R5,"G6W6R5, Canada",-71.185416,46.77837359999999
G2E1X8,"G2E1X8, Canada",-71.3582349,46.7929755
G6X1W7,"G6X1W7, Canada",-71.2705319,46.715606
G3G3G8,"G3G3G8, Canada",-71.3796101,46.8889204
G7A2A7,"G7A2A7, Canada",-71.3531095,46.6986839
G1S2R2,"G1S2R2, Canada",-71.2358536,46.8031441
G2E2T6,"G2E2T6, Canada",-71.346903,46.79905
G1P1A8,"G1P1A8, Canada",-71.32486159999999,46.8222668
G2N2L2,"G2N2L2, Canada",-71.31143840000001,46.8938268
G0A2Y0,"G0A2Y0, Canada",-71.9210981,46.7247266
G1C7P9,"G1C7P9, Canada",-71.21911589999999,46.8731071
G1H2N8,"G1H2N8, Canada",-71.2380518,46.8514644
G2B2C6,"G2B2C6, Canada",-71.3260978,46.8523211
G1Y2P2,"G1Y2P2, Canada",-71.35308549999999,46.7510408
G7A4V5,"G7A4V5, Canada",-71.47737,46.6928324
G6K1L5,"G6K1L5, Canada",-71.2957338,46.6925974
G1Y2R3,"G1Y2R3, Canada",-71.3630424,46.7536555
G1Y3S1,"G1Y3S1, Canada",-71.35485129999999,46.74742879999999
G3H0C1,"G3H0C1, Canada",-71.6834221,46.74988099999999
G1P2S7,"G1P2S7, Canada",-71.2995265,46.8159547
G3B0Z8,"G3B0Z8, Canada",-71.22987739999999,46.9642569
G1G4X6,"G1G4X6, Canada",-71.2828888,46.8643058
G1M1N7,"G1M1N7, Canada",-71.2777194,46.8109377
G1FA26,"G1FA26, Canada",NA,NA
G1R2N4,"G1R2N4, Canada",-71.22771589999999,46.8011377
G1S1B6,"G1S1B6, Canada",-71.22970510000002,46.79904759999999
G1Y3T4,"G1Y3T4, Canada",-71.3492232,46.7600871
G7A3C4,"G7A3C4, Canada",-71.29932099999999,46.73501359999999
G1L2M5,"G1L2M5, Canada",-71.2304496,46.8260393
G1H3A8,"G1H3A8, Canada",-71.24809479999999,46.85152000000001
G3K2V7,"G3K2V7, Canada",-71.4254428,46.8517905
G1Y2S3,"G1Y2S3, Canada",-71.3689091,46.7508115
G3K2C7,"G3K2C7, Canada",-71.412972,46.8498554
G1R1N4,"G1R1N4, Canada",-71.226325,46.8071668
G1W2A5,"G1W2A5, Canada",-71.27635529999999,46.7605368
G1Y2K8,"G1Y2K8, Canada",-71.3557783,46.763068
G1K2N9,"G1K2N9, Canada",-71.2290483,46.81471690000001
G1X4J4,"G1X4J4, Canada",-71.3484993,46.7671607
G1H2N1,"G1H2N1, Canada",-71.2403531,46.8495813
G0A1L0,"G0A1L0, Canada",-71.7802179,46.721647
G2A4A2,"G2A4A2, Canada",-71.3679741,46.8520876
G2C1K4,"G2C1K4, Canada",-71.3216157,46.8255568
G0A4V0,"G0A4V0, Canada",-71.3601943,46.8647392
G2G0C2,"G2G0C2, Canada",-71.3978951,46.8019139
G1Y2B2,"G1Y2B2, Canada",-71.3566301,46.7579717
G1S3Y1,"G1S3Y1, Canada",-71.25090229999999,46.789174
G1C7E6,"G1C7E6, Canada",-71.1691031,46.89850029999999
G7A3W9,"G7A3W9, Canada",-71.3391336,46.7160166
G3H0H4,"G3H0H4, Canada",NA,NA
G2B3N4,"G2B3N4, Canada",-71.36519899999999,46.8408101
G1Y2B8,"G1Y2B8, Canada",-71.35380599999999,46.7539772
G1J4V8,"G1J4V8, Canada",-71.2177751,46.8379935
G3A2W1,"G3A2W1, Canada",-71.4535971,46.74227930000001
G1B2A1,"G1B2A1, Canada",-71.1996212,46.9203279
G2L3C3,"G2L3C3, Canada",-71.2626123,46.8804776
G3H1S4,"G3H1S4, Canada",-71.7218747,46.7395175
G2L2R7,"G2L2R7, Canada",-71.2463415,46.8747427
G1K3G8,"G1K3G8, Canada",-71.22672519999999,46.8125606
G1M3K7,"G1M3K7, Canada",-71.26273119999999,46.8196796
G3S0W8,"G3S0W8, Canada",NA,NA
G2C1Z6,"G2C1Z6, Canada",-71.33671079999999,46.8276321
G1E4H5,"G1E4H5, Canada",-71.2052905,46.85264799999999
G2K1V4,"G2K1V4, Canada",-71.3022399,46.85080259999999
G2B2L3,"G2B2L3, Canada",-71.3257412,46.8496752
G7A1L2,"G7A1L2, Canada",-71.30311999999999,46.7122843
G6Z8G2,"G6Z8G2, Canada",NA,NA
G1H5G6,"G1H5G6, Canada",-71.2629692,46.8419695
G1G6C6,"G1G6C6, Canada",-71.2900811,46.89374979999999
G1J4R5,"G1J4R5, Canada",-71.2181581,46.8374316
G2L2S1,"G2L2S1, Canada",-71.2397512,46.8794294
G0A3Z0,"G0A3Z0, Canada",-71.0137841,46.87336879999999
G0S2C0,"G0S2C0, Canada",-71.5717978,46.6472613
G1X2M3,"G1X2M3, Canada",-71.3063878,46.7760179
G3A0A2,"G3A0A2, Canada",-71.442274,46.735694
G3A0A3,"G3A0A3, Canada",-71.4443509,46.734948
G1C4B1,"G1C4B1, Canada",-71.1703819,46.8761999
G1Y1Z8,"G1Y1Z8, Canada",-71.3572468,46.7595614
G1J1A6,"G1J1A6, Canada",-71.233508,46.8473238
G3B2A6,"G3B2A6, Canada",-71.31775569999999,46.9413436
G1T1L6,"G1T1L6, Canada",-71.2594999,46.7753674
G6Z2M4,"G6Z2M4, Canada",-71.2068692,46.7265468
G1W0B4,"G1W0B4, Canada",-71.3116672,46.7539106
G1G1P5,"G1G1P5, Canada",-71.2775757,46.8849695
G6C2J7,"G6C2J7, Canada",NA,NA
G1W2Z5,"G1W2Z5, Canada",-71.3031716,46.7566213
G1R2S6,"G1R2S6, Canada",-71.2252786,46.8033869
G3N2Z9,"G3N2Z9, Canada",-71.61089489999999,46.843257
G1V2T5,"G1V2T5, Canada",-71.2663604,46.7877207
G2C1R7,"G2C1R7, Canada",-71.349561,46.82901390000001
G6Z1M5,"G6Z1M5, Canada",-71.2053142,46.7169
G7A2E5,"G7A2E5, Canada",-71.388114,46.6708423
G2A4E3,"G2A4E3, Canada",-71.3916397,46.8553609
G3A0N2,"G3A0N2, Canada",NA,NA
G0A4E0,"G0A4E0, Canada",-71.06312489999999,46.8968978
G1V1H9,"G1V1H9, Canada",-71.2913715,46.7873325
G0S2P0,"G0S2P0, Canada",-71.36056359999999,46.4922929
G1Y2T1,"G1Y2T1, Canada",-71.3648544,46.7424674
G1X2W8,"G1X2W8, Canada",-71.31312969999999,46.7734004
G7A2E7,"G7A2E7, Canada",-71.36591059999999,46.67241560000001
G6V5K5,"G6V5K5, Canada",-71.17852189999999,46.8098565
G1Y1S4,"G1Y1S4, Canada",-71.3438086,46.7554211
G1L4E4,"G1L4E4, Canada",-71.2430028,46.8218999
G1Y1Y7,"G1Y1Y7, Canada",-71.3586637,46.7648052
G1P2P5,"G1P2P5, Canada",-71.3018191,46.8179081
G3J1A6,"G3J1A6, Canada",-71.4178848,46.86133359999999
G2B2Y7,"G2B2Y7, Canada",-71.35703,46.84938409999999
G2E4P8,"G2E4P8, Canada",-71.3383757,46.8061453
G1W4N1,"G1W4N1, Canada",-71.31589819999999,46.7566582
G1L2M8,"G1L2M8, Canada",-71.2289796,46.8272002
G3K1W9,"G3K1W9, Canada",-71.4517138,46.8184522
G1H4E9,"G1H4E9, Canada",-71.24200669999999,46.8519778
G6Z7G9,"G6Z7G9, Canada",NA,NA
G0S2E0,"G0S2E0, Canada",-71.5115464,46.58734889999999
G2A1L7,"G2A1L7, Canada",-71.3674448,46.8527036
G6K1E8,"G6K1E8, Canada",-71.28939609999999,46.6976198
G6W0N9,"G6W0N9, Canada",-71.2615976,46.7325678
G7A4M6,"G7A4M6, Canada",-71.40610319999999,46.7035344
G0R1C0,"G0R1C0, Canada",-70.9988773,46.8105686
G7A3G4,"G7A3G4, Canada",-71.3020628,46.7318023
G1C7X2,"G1C7X2, Canada",-71.20058949999999,46.89694710000001
G2K0J2,"G2K0J2, Canada",NA,NA
G6V7M8,"G6V7M8, Canada",-71.148996,46.818071
G1Y3P3,"G1Y3P3, Canada",-71.35269459999999,46.7462837
G2G1Z9,"G2G1Z9, Canada",-71.3614702,46.7758374
G1E5W1,"G1E5W1, Canada",-71.1771378,46.8673095
G1C6T9,"G1C6T9, Canada",-71.2185993,46.88651
G2B4R2,"G2B4R2, Canada",-71.3449029,46.84859549999999
G6E1W1,"G6E1W1, Canada",-71.012104,46.4375231
G1B3W9,"G1B3W9, Canada",-71.1981547,46.9119937
G2A319,"G2A319, Canada",NA,NA
G1Y1A2,"G1Y1A2, Canada",-71.3478524,46.7622806
G1X5A1,"G1X5A1, Canada",-71.3354382,46.7624568
G2K1G3,"G2K1G3, Canada",-71.30519939999999,46.8491082
G3E1Y6,"G3E1Y6, Canada",-71.3098996,46.8738855
G1M2N4,"G1M2N4, Canada",-71.28219969999999,46.810834
G1M2N1,"G1M2N1, Canada",-71.2881094,46.8177846
G2L1B3,"G2L1B3, Canada",-71.2728314,46.8902846
G2B0R3,"G2B0R3, Canada",NA,NA
G1K0E5,"G1K0E5, Canada",NA,NA
G1T1H1,"G1T1H1, Canada",-71.26470979999999,46.7773449
G1T1G5,"G1T1G5, Canada",-71.26638489999999,46.7777067
G1C5N6,"G1C5N6, Canada",-71.2022633,46.88185439999999
G1M1X6,"G1M1X6, Canada",-71.2592944,46.8140851
G1B3L5,"G1B3L5, Canada",-71.2093412,46.9040829
G1X4X1,"G1X4X1, Canada",-71.3348094,46.7567197
G1G4S2,"G1G4S2, Canada",-71.2895833,46.8769619
G1Y1L2,"G1Y1L2, Canada",-71.3454047,46.7588964
G1G5A9,"G1G5A9, Canada",-71.2836877,46.8614621
G6E1A5,"G6E1A5, Canada",-71.0358324,46.47366
G0S1W0,"G0S1W0, Canada",-71.2454865,46.4927634
G7A1M3,"G7A1M3, Canada",-71.3068541,46.7101018
G1X3B5,"G1X3B5, Canada",-71.326617,46.7773191
G6Z7A5,"G6Z7A5, Canada",NA,NA
G6K1M9,"G6K1M9, Canada",-71.2890256,46.69052620000001
G0A1A0,"G0A1A0, Canada",-72.0876402,46.8416433
G3A1X1,"G3A1X1, Canada",-71.3844691,46.7589799
G1V1M3,"G1V1M3, Canada",-71.2712027,46.7932368
G2E2R5,"G2E2R5, Canada",-71.35287490000002,46.8099187
G3K1M2,"G3K1M2, Canada",-71.4122842,46.8599239
G2E3H5,"G2E3H5, Canada",-71.3629188,46.8005727
G2C2A2,"G2C2A2, Canada",-71.3333495,46.82925849999999
G1P4J2,"G1P4J2, Canada",-71.3240089,46.8146839
G7A3E5,"G7A3E5, Canada",-71.30428619999999,46.7360086
G1S2A4,"G1S2A4, Canada",-71.2401174,46.7985422
G2G1A6,"G2G1A6, Canada",-71.3669116,46.7823076
G2E3G2,"G2E3G2, Canada",-71.3774301,46.8158512
G1S1K5,"G1S1K5, Canada",-71.2495393,46.7836985
G2B3C1,"G2B3C1, Canada",-71.3614186,46.8482425
G1V3L2,"G1V3L2, Canada",-71.29583389999999,46.775096
G1X2G2,"G1X2G2, Canada",-71.327304,46.7666389
G6X3B2,"G6X3B2, Canada",-71.2632474,46.7143731
G6V3V4,"G6V3V4, Canada",-71.186005,46.8082698
G0R3J0,"G0R3J0, Canada",-70.76851169999999,46.6604633
G2A2X5,"G2A2X5, Canada",-71.3714013,46.8508621
G3A0M3,"G3A0M3, Canada",-71.3883616,46.7435286
G1P4E8,"G1P4E8, Canada",-71.3156967,46.8017727
G1M2M9,"G1M2M9, Canada",-71.2875129,46.8179971
G0R1E0,"G0R1E0, Canada",-70.7165387,46.9224825
G6W3H3,"G6W3H3, Canada",-71.2370509,46.7565408
G3A2B2,"G3A2B2, Canada",-71.3799706,46.7422743
G6V1T5,"G6V1T5, Canada",-71.1678281,46.82268810000001
G1Y3A4,"G1Y3A4, Canada",-71.35015109999999,46.7480446
G2G1N3,"G2G1N3, Canada",-71.36527459999999,46.7778858
G3K2K8,"G3K2K8, Canada",-71.40429189999999,46.84581379999999
G3A1Y7,"G3A1Y7, Canada",-71.3798966,46.7392133
G3A2B9,"G3A2B9, Canada",-71.37772199999999,46.7400983
G2A1A7,"G2A1A7, Canada",-71.389836,46.8654004
G1Y2B9,"G1Y2B9, Canada",-71.3534262,46.7545388
G1P3Y6,"G1P3Y6, Canada",-71.30714979999999,46.8047141
G2C0H6,"G2C0H6, Canada",-71.33351309999999,46.837197
G1H7N9,"G1H7N9, Canada",-71.2688692,46.8432813
G1K5M8,"G1K5M8, Canada",-71.2316819,46.8102682
G1K1Y9,"G1K1Y9, Canada",-71.23486869999999,46.8088702
G2E4G8,"G2E4G8, Canada",-71.3665836,46.816532
G1Y2C6,"G1Y2C6, Canada",-71.3569342,46.7555205
G1X1V5,"G1X1V5, Canada",-71.3128658,46.77179109999999
G2E2K8,"G2E2K8, Canada",-71.33471759999999,46.8040414
G1X5E7,"G1X5E7, Canada",-71.34434499999999,46.76513120000001
G0A4A0,"G0A4A0, Canada",-71.9934179,46.9866622
G6K0B2,"G6K0B2, Canada",-71.2899989,46.6844419
G7A3W8,"G7A3W8, Canada",-71.34019409999999,46.7136168
G1J2X7,"G1J2X7, Canada",-71.2210308,46.82224799999999
G1X4X2,"G1X4X2, Canada",-71.3635331,46.7671109
G2C1H5,"G2C1H5, Canada",-71.3512949,46.8282878
G1N2S4,"G1N2S4, Canada",-71.24071529999999,46.80988079999999
G3A1C4,"G3A1C4, Canada",-71.3807077,46.7505286
G0R3N0,"G0R3N0, Canada",-70.73971399999999,46.5354386
G3H1W6,"G3H1W6, Canada",-71.6940257,46.7526476
G3K0P4,"G3K0P4, Canada",NA,NA
G2B2W2,"G2B2W2, Canada",-71.34885779999999,46.84792969999999
G2K2M5,"G2K2M5, Canada",-71.2896095,46.8397363
G1W2G8,"G1W2G8, Canada",-71.27744489999999,46.7561058
G1M4B2,"G1M4B2, Canada",-71.283485,46.816768
G1Y3M3,"G1Y3M3, Canada",-71.3618659,46.7493916
G1X4X8,"G1X4X8, Canada",-71.367687,46.764134
G6K1N2,"G6K1N2, Canada",-71.2879068,46.687525
